t,ang,err,Uang,Uspd,Uturn,gx,gy,gz
12.462,0.824,0.824,29.028,-38.460,-0.300,-4.1,2.7,1.0
12.521,0.796,0.796,29.378,-37.914,-0.300,-3.5,2.4,1.0
12.576,0.792,0.792,30.087,-37.532,-0.300,-3.2,2.6,1.0
12.637,0.800,0.800,30.244,-37.264,-0.300,-3.3,2.5,1.0
12.691,0.804,0.804,29.840,-37.077,-0.300,-3.5,2.5,1.0
12.751,0.792,0.792,29.239,-36.946,-0.300,-3.5,2.7,1.0
12.807,0.784,0.784,28.432,-36.790,-0.300,-3.6,2.4,1.0
12.861,0.777,0.777,28.891,-36.745,-0.300,-3.3,2.4,1.0
12.921,0.772,0.772,28.126,-36.713,-0.300,-3.5,2.4,1.0
12.977,0.759,0.759,28.828,-36.691,-0.300,-3.0,2.4,1.0
13.036,1.552,1.552,230.142,-35.014,-0.900,50.8,0.9,4.0
13.091,2.853,2.853,160.762,-25.518,0.900,6.0,2.6,1.0
13.152,3.137,3.137,136.648,24.414,0.300,-6.7,2.5,-2.0
13.206,2.346,2.346,-35.135,133.875,1.200,-50.8,2.7,-4.0
13.266,-0.758,-0.758,-257.318,102.635,0.900,-73.1,6.5,-4.0
13.327,-2.094,-2.094,-76.913,11.094,-2.100,9.3,1.3,-4.0
13.386,-1.752,-1.752,-115.853,-6.820,0.000,-9.4,3.7,0.0
13.447,-1.615,-1.615,-103.510,-26.044,-0.600,-7.6,1.1,0.0
13.506,-1.349,-1.349,-65.488,-101.478,-0.600,0.7,4.5,2.0
13.566,-0.543,-0.543,5.345,-147.823,-0.600,10.8,1.5,3.0
13.627,0.630,0.630,93.233,-189.054,-1.800,20.6,3.2,7.0
13.686,2.038,2.038,190.862,-223.442,-3.300,29.7,0.9,10.0
13.747,3.718,3.718,276.970,-244.765,-2.700,30.4,2.2,8.0
13.806,4.794,4.794,257.041,-97.412,1.800,5.8,0.9,-6.0
13.861,3.962,3.962,160.888,-73.684,-0.900,-12.4,2.5,3.0
13.922,3.553,3.553,165.043,-55.365,-0.300,-4.2,3.5,2.0
13.981,3.093,3.093,116.170,-30.847,-0.600,-12.8,2.5,2.0
14.042,2.319,2.319,59.753,-3.569,-0.300,-18.7,2.7,1.0
14.096,1.639,1.639,16.938,20.728,-0.300,-21.7,3.2,1.0
14.156,0.573,0.573,-38.783,48.659,-0.300,-22.5,3.1,1.0
14.212,-0.316,-0.316,-83.658,11.495,-0.300,-22.6,3.2,1.0
14.271,-0.762,-0.762,-50.409,-14.603,-1.200,-4.1,3.2,4.0
14.331,-0.927,-0.927,-86.649,-24.646,-0.300,-13.4,2.1,1.0
14.396,-0.632,-0.632,0.227,-43.334,-0.900,10.6,1.8,9.0
14.451,0.025,0.025,22.757,-66.496,-2.700,7.2,1.7,8.0
14.512,0.599,0.599,56.564,-95.720,-2.400,8.9,2.1,7.0
14.566,1.133,1.133,76.584,-100.394,-2.100,6.6,2.4,6.0
14.621,1.544,1.544,89.176,-100.498,-1.800,4.0,2.1,5.0
14.682,1.756,1.756,98.098,-94.054,-1.200,3.4,2.3,4.0
14.737,1.860,1.860,92.960,-81.318,-0.300,-0.0,2.3,0.0
14.791,2.066,2.066,108.893,-67.441,0.000,1.9,2.2,0.0
14.852,2.430,2.430,129.087,-57.714,-0.300,2.5,2.4,1.0
14.907,2.591,2.591,97.446,-35.447,3.000,-10.7,1.9,-10.0
14.966,2.181,2.181,72.897,-20.241,2.700,-12.0,2.5,-10.0
15.027,1.557,1.557,34.840,-9.477,0.600,-14.3,2.7,-4.0
15.081,1.169,1.169,37.072,-5.146,0.900,-7.1,2.4,-3.0
15.136,0.982,0.982,34.227,-5.342,0.600,-5.0,2.5,-1.0
15.197,1.029,1.029,45.807,-10.393,-0.300,-1.9,2.5,1.0
15.251,1.047,1.047,39.249,-17.217,-0.300,-4.4,2.5,1.0
15.306,0.956,0.956,32.049,-28.143,-0.300,-5.3,2.5,1.0
15.367,0.823,0.823,26.421,-32.954,-0.300,-4.9,2.5,1.0
15.421,0.747,0.747,25.433,-34.672,-0.300,-4.0,2.2,1.0
15.481,0.708,0.708,25.726,-35.874,-0.300,-3.2,2.1,1.0
15.537,0.714,0.714,26.908,-36.716,-0.300,-2.9,2.6,1.0
15.596,0.732,0.732,26.327,-37.305,-0.300,-3.4,2.2,1.0
15.651,0.721,0.721,24.555,-37.718,-0.300,-3.8,2.4,1.0
15.712,0.692,0.692,23.603,-38.208,-0.300,-3.7,2.6,1.0
15.766,0.673,0.673,23.319,-38.350,-0.300,-3.5,2.6,1.0
15.821,0.668,0.668,23.829,-38.449,-0.300,-3.2,2.6,1.0
15.882,0.663,0.663,22.810,-38.518,-0.300,-3.4,2.3,1.0
15.936,0.660,0.660,22.780,-38.567,-0.300,-3.4,2.4,1.0
15.996,0.649,0.649,21.984,-38.601,-0.300,-3.5,2.5,1.0
16.052,0.635,0.635,21.067,-38.625,-0.300,-3.6,2.6,1.0
16.111,0.627,0.627,21.427,-38.653,-0.300,-3.3,2.4,1.0
16.166,0.627,0.627,21.774,-38.661,-0.300,-3.2,2.2,1.0
16.222,0.627,0.627,22.135,-38.667,-0.300,-3.1,2.6,1.0
16.281,0.614,0.614,20.271,-38.671,-0.300,-3.5,2.4,1.0
16.336,0.604,0.604,19.670,-38.673,-0.300,-3.5,2.5,1.0
16.397,0.609,0.609,20.036,-38.675,-0.300,-3.5,2.6,1.0
16.451,0.612,0.612,20.245,-38.677,-0.300,-3.5,2.6,1.0
16.512,0.590,0.590,19.397,-38.678,-0.300,-3.4,2.4,1.0
16.567,0.590,0.590,19.327,-38.679,-0.300,-3.4,2.5,1.0
16.626,0.577,0.577,18.289,-38.679,-0.300,-3.5,2.5,1.0
