gx,gy,gz,gx_raw,gy_raw,gz_raw
-3.9,2.4,1.0,-386,-312,-184
-3.4,2.5,1.0,-321,-330,-213
-3.6,2.5,1.0,-342,-323,-187
-3.7,2.4,1.0,-359,-310,-193
-3.7,2.5,1.0,-354,-328,-187
-3.5,2.8,1.0,-324,-365,-161
-3.7,2.6,1.0,-360,-337,-177
-3.4,2.7,1.0,-323,-351,-187
-3.6,2.4,1.0,-345,-317,-204
-3.9,2.5,1.0,-386,-321,-185
-3.7,2.5,1.0,-362,-334,-186
-3.8,2.3,1.0,-375,-300,-187
-3.7,2.3,1.0,-357,-299,-205
-3.7,2.4,1.0,-359,-309,-174
-3.7,2.6,1.0,-353,-341,-180
-3.6,2.4,1.0,-347,-310,-159
-3.7,2.5,1.0,-353,-328,-173
-3.6,2.0,1.0,-344,-267,-181
-3.7,2.7,1.0,-351,-357,-182
-3.6,2.4,1.0,-349,-317,-205
-3.7,2.6,1.0,-355,-345,-171
-3.6,2.5,1.0,-343,-333,-202
-3.6,2.4,1.0,-343,-312,-200
-3.7,2.5,1.0,-363,-330,-175
-3.6,2.6,1.0,-346,-343,-187
-3.6,2.7,1.0,-344,-349,-147
-3.6,2.5,1.0,-348,-329,-151
-3.6,2.4,1.0,-349,-311,-172
-3.7,2.6,1.0,-357,-337,-178
-3.7,2.7,1.0,-360,-354,-175
-3.7,2.5,1.0,-353,-330,-160
-3.7,2.6,1.0,-360,-341,-169
-3.6,2.5,1.0,-347,-322,-160
-3.5,2.4,1.0,-331,-315,-216
-3.7,2.5,1.0,-352,-322,-200
-3.7,2.6,1.0,-356,-346,-178
-3.7,2.6,1.0,-355,-335,-166
-3.6,2.5,1.0,-346,-325,-154
-3.6,2.4,1.0,-346,-314,-195
-3.6,2.5,1.0,-346,-334,-177
-3.7,2.4,1.0,-351,-319,-177
-3.6,2.4,1.0,-337,-312,-184
-3.8,2.4,1.0,-365,-308,-203
-3.5,2.3,1.0,-330,-307,-172
-3.6,2.7,1.0,-350,-351,-162
-3.7,2.3,1.0,-354,-295,-205
-3.7,2.5,1.0,-352,-332,-213
-3.7,2.5,1.0,-351,-325,-189
